tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
569237160886276096,negative,1.0,Can't Tell,0.6543,Delta,,venkatesh_cr,,0,@JetBlue I've been in pricing for 8 years to know that 70 bucks a seat is criminal. 20-30 I understand. #pricing #flying #jetblue #pricewise,,2015-02-21 12:48:09 -0800,Austin Texas,Central Time (US & Canada)
569267194028298241,negative,1.0,Customer Service Issue,1.0,Southwest,,ChristineFlores,,0,"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame",,2015-02-21 14:47:30 -0800,,Central Time (US & Canada)
569506670189137920,negative,0.6473,Lost Luggage,0.6473,United,,szymanski_t,,0,@united if you lost my belongings then BE HONEST!,,2015-02-22 06:39:05 -0800,,Eastern Time (US & Canada)
570293957739081728,negative,1.0,Customer Service Issue,1.0,United,,nate2482,,0,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",,2015-02-24 10:47:29 -0800,"Parkersburg, WV",Eastern Time (US & Canada)
570212129313316864,neutral,1.0,,,Delta,,elias_rubin,,0,@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,,2015-02-24 05:22:20 -0800,"New York, NY",Pacific Time (US & Canada)
570021485466685440,negative,1.0,Can't Tell,0.6816,US Airways,,mitchsunderland,,0,"Too little, too Late Flight. You suck RT @USAirways: @mitchsunderland Oh no, Mitchell. Our agents are happy to offer you available options.",,2015-02-23 16:44:47 -0800,"Florida Raised, NYC Based ",London
568894795294363648,negative,1.0,Flight Booking Problems,0.6413,US Airways,,TimAtConservis,,0,@USAirways I'm trying to Request Missed Mileage and it keeps saying it can't my flight from 2/13. Then it says call the number.,,2015-02-20 14:07:43 -0800,"Asheville, NC",
568833739192557569,neutral,1.0,,,Virgin America,,JetBlueNews,,0,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,,2015-02-20 10:05:06 -0800,USA,Sydney
568603024320434176,negative,1.0,Late Flight,1.0,Delta,,cvsherman,,0,@JetBlue the departure time keeps getting Late Flightr.  I'll be lucky if I'm home by 3am,,2015-02-19 18:48:19 -0800,"Austin, TX",Central Time (US & Canada)
569645815268044801,negative,1.0,Cancelled Flight,0.6925,American,,McKennon,,0,@AmericanAir Just learned my flight is Cancelled Flightled.can't get through by phone and don't see any option for assistance online. Any suggestions?,,2015-02-22 15:52:00 -0800,,Atlantic Time (Canada)
569469326547222528,negative,0.6811,Late Flight,0.6811,United,,jlongoria21,,0,"@united since I have an international connection at 9am, I'm hoping for the same thing!",,2015-02-22 04:10:42 -0800,"Rio Grande Valley, Texas",Central Time (US & Canada)
569604033083789312,negative,0.6535,Late Flight,0.6535,Delta,,ItsChristine_x,,0,@JetBlue at what point in delays can I take a different flight to my destination?,,2015-02-22 13:05:58 -0800,,Eastern Time (US & Canada)
568807928154558464,negative,1.0,Late Flight,0.6552,United,,MattFrederick00,,0,@united: Worse - headed to LaGuardia (delayed).  Why is the tray table the size of a mouse pad and the overhead the size on my pocket?,,2015-02-20 08:22:32 -0800,,
569906446881697793,negative,0.6606,Customer Service Issue,0.6606,American,,MeeestarCoke,,0,"@AmericanAir @USAirways ""ma'am if you have a complaint you should visit our customer service desk"" {sees line ~45 people deep}",,2015-02-23 09:07:39 -0800,BK,
569088825420607488,positive,1.0,,,US Airways,,WTFloris,,0,"@USAirways Got it, thanks!",,2015-02-21 02:58:43 -0800,Raxacoricofallapatorius,Amsterdam
570023318251642883,negative,1.0,Customer Service Issue,1.0,US Airways,,Wheres_Papi,,0,@USAirways I lost an ID on your plane and having trouble finding a contact for your lost and found in Cleveland Hopkins Airport. Please Help,,2015-02-23 16:52:04 -0800,USA,Eastern Time (US & Canada)
569839377104285696,negative,1.0,Customer Service Issue,0.664,American,,ih8ms,,0,@AmericanAir wow. Flight crew shows up :15 mins before the flight. No catering for AA3390. Nice. Why to treat your customers.,,2015-02-23 04:41:09 -0800,,
569301668904329216,negative,1.0,Can't Tell,1.0,Southwest,,Laughable_con,,0,@SouthwestAir you are the worst airline. Congrats!!,,2015-02-21 17:04:29 -0800,,
568855468975759360,negative,1.0,Bad Flight,0.674,United,,Paul_Faust,,1,@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.,,2015-02-20 11:31:27 -0800,New York,
568595632140775424,negative,1.0,Can't Tell,0.3478,US Airways,,dcamp1014,,0,@USAirways No hot food on a 5 hour flight? Crazy. Couldn't eat in PHL b/c our original connection was 40 min Late Flight. What gives? #PHLtoLAS,,2015-02-19 18:18:57 -0800,"New York, NY",Central Time (US & Canada)
567761297879646208,negative,1.0,Flight Attendant Complaints,1.0,Southwest,,Foxycleo13,,0,@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time,,2015-02-17 11:03:36 -0800,"Memphis, TN",Central Time (US & Canada)
567773445195583488,positive,1.0,,,Southwest,,MatthewJLeBlanc,,0,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :),,2015-02-17 11:51:52 -0800,"Nashville, TN",Central Time (US & Canada)
567847753277120512,positive,1.0,,,United,,dudleywright,,0,@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job,,2015-02-17 16:47:09 -0800,"Johnstown, Ohio",Quito
569890651107491840,neutral,0.6633,,0.0,American,,EricDoSomeGood,,0,"@AmericanAir two were non revs, right?",,2015-02-23 08:04:53 -0800,"Portland, Oregon",
569641319712169984,negative,0.3608,Flight Attendant Complaints,0.3608,United,,reccewife,,0,"@united we were told when we checked in, as soon as we were allowed to, that there are no other seats available on the plane except middle.",,2015-02-22 15:34:08 -0800,"Kingston, Canada",Mountain Time (US & Canada)
569493640990625793,negative,1.0,Late Flight,1.0,United,,_Charette_,,0,@united flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,,2015-02-22 05:47:19 -0800,SE AZ By Way of HV,Mountain Time (US & Canada)
569875456415170560,neutral,1.0,,,United,,Ed_Cabello,,0,@united Hi! what is the phone number for reservations in Venezuela? Thanks,,2015-02-23 07:04:31 -0800,Barquisimeto - Maracaibo,Caracas
569380081254027265,negative,1.0,Customer Service Issue,1.0,US Airways,,stuf_bethsays,,0,"@usairways I've been on hold since 11:30pm how many customer service reps do you have?
 #seriously",,2015-02-21 22:16:04 -0800,,
569891440135794688,positive,1.0,,,American,,heatherjpitcher,,0,@AmericanAir Thank You! CC: @packermama1,,2015-02-23 08:08:02 -0800,,Quito
567775418612195328,positive,0.6522,,,United,,ColtSTaylor,,0,@united looks like I'm settled in to where I'm going.  Thx.,"[39.85871934, -104.67371484]",2015-02-17 11:59:43 -0800,All Over The World,
568607402645454848,negative,0.6866,Late Flight,0.6866,United,,tonypal1588,,0,@united @dmb41shows I need this plane to get to buffalo so I can leave tonight. Any progress?,,2015-02-19 19:05:43 -0800,Houston,Central Time (US & Canada)
570217606025748480,negative,1.0,Customer Service Issue,0.6599,United,,BouleChitte,,0,@united not able to DM you my confirmation number,,2015-02-24 05:44:06 -0800,,
569664787946164224,negative,1.0,Can't Tell,0.6613,American,,vickie_frisbie,,0,@AmericanAir we are through. I can quit you. I am. The nonsense &amp; lies are a colossal infringement you can no longer get away with,,2015-02-22 17:07:23 -0800,"Dallas, Texas",Mountain Time (US & Canada)
570055285500469248,negative,1.0,Customer Service Issue,1.0,United,,BethStuever,,0,"@united Soooo, it's been 15 days and you've offered no response. So I assume poor treatment by gate agents is the norm now?",,2015-02-23 18:59:05 -0800,"iPhone: 42.734546,-84.483753",Eastern Time (US & Canada)
569941617697644544,negative,1.0,Late Flight,0.6803,United,,katiedonohue,,0,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence.","[41.97745295, -87.91025951]",2015-02-23 11:27:25 -0800,Washington D.C.,Eastern Time (US & Canada)
569915039114661888,negative,1.0,Can't Tell,1.0,American,,_mhertz,,0,"@AmericanAir and feel free to email me mikehertz7@gmail.com - don't worry, we're not going anywhere but this damn Tarmac for a bit!",,2015-02-23 09:41:48 -0800,,Pacific Time (US & Canada)
569202715571703808,negative,1.0,Bad Flight,1.0,US Airways,,SportsLoverofNY,,0,@USAirways the American Eagle plane you're using for CLT to RDU is disgusting! You should be ashamed! #disgusting #ew http://t.co/B4xhiRuGzV,,2015-02-21 10:31:17 -0800,,
568028183267639297,positive,0.3356,,0.0,Southwest,,CourtSnod,,0,@SouthwestAir de-icing is important!,,2015-02-18 04:44:07 -0800,Tennessee Original,Central Time (US & Canada)
569622208588468224,negative,0.6868,Customer Service Issue,0.6868,American,,otisday,,0,@AmericanAir I did. Should i expect a response in this fiscal year? This calendar year? Never?,,2015-02-22 14:18:12 -0800,Pekin,Eastern Time (US & Canada)
569280107724050432,negative,1.0,Customer Service Issue,0.6699,Delta,,jsgerson,,0,"@JetBlue If this is customer service, then please call me.",,2015-02-21 15:38:49 -0800,,
568216890918637568,negative,1.0,Late Flight,1.0,Southwest,,JBlackwellAZ,,0,@SouthwestAir I am going to stop flying with you.  Delays everytime.  This time due to paperwork?,,2015-02-18 17:13:58 -0800,,Arizona
568834026317832193,negative,1.0,Customer Service Issue,0.6875,US Airways,,kimlynam2,,0,@USAirways yes but lost a whole day.  Frustrating!!  #poor customer service,,2015-02-20 10:06:14 -0800,,
568652138915766272,negative,1.0,Late Flight,1.0,US Airways,,BrianKush,,0,"@USAirways it was 1838, almost 5 hours Late Flight due  to mechanical.",,2015-02-19 22:03:29 -0800,,Quito
570144025451339776,negative,0.69,Lost Luggage,0.69,United,,michaelsalinger,,0,@united how we looking on getting those bags to Lusaka,,2015-02-24 00:51:43 -0800,"mentor, Ohio",Eastern Time (US & Canada)
570075866748694528,neutral,0.6667,,,US Airways,,caneryilmz,,0,@USAirways thank u i wiil write after call  travel agency,,2015-02-23 20:20:52 -0800,,
568013199599120384,negative,1.0,Flight Attendant Complaints,0.6421,US Airways,,jtalarcek,,0,@USAirways  please don't go to the check in process @AmericanAir uses at #MCO. It's an absolute disaster.,,2015-02-18 03:44:34 -0800,Orlando,Eastern Time (US & Canada)
569639288649883648,neutral,1.0,,,United,,FAiRChicago,,0,"@united @jeffsmisek @RobertFor39 @Fioretti2ndWard @garcia4chicago  
FAA invest near miss on O'Hare runway last wk:http://t.co/jVJ73ZZa4A","[41.9763291, -87.73856403]",2015-02-22 15:26:04 -0800,"Chicago, IL",
569721419849797632,negative,1.0,Customer Service Issue,0.6625,American,,hellodukesy,,0,"@AmericanAir Need to change flight, but the CS # is telling me it can't take my call. Can't change online. Please help. Flight is this week.",,2015-02-22 20:52:26 -0800,San Francisco,Pacific Time (US & Canada)
569562202405019650,negative,1.0,Bad Flight,1.0,Virgin America,,Gr8Fratsby,,0,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,,2015-02-22 10:19:45 -0800,"Washington, DC",Eastern Time (US & Canada)
569968010431066112,negative,1.0,Customer Service Issue,0.3455,American,,ashritt,,0,@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.,,2015-02-23 13:12:17 -0800,"Iowa City, IA",Eastern Time (US & Canada)
570001183600812033,neutral,1.0,,,American,,murraysm,,0,@AmericanAir No snow in St. Louis. Cold but no snow. Hub flights welcome.,,2015-02-23 15:24:06 -0800,"St. Louis, Missouri USA",Central Time (US & Canada)
569999640516370432,negative,1.0,Flight Booking Problems,0.6901,American,,redeyes313,,0,@AmericanAir I've never had anything bad to say until now. No love for faithful customers.,,2015-02-23 15:17:59 -0800,"Lake County, Illinois",
569622389920641024,negative,1.0,Late Flight,0.7077,Delta,,Crimson_Zombie,,0,"@JetBlue what's up? Three delays so far, resulting in over three hours of unnecessary, extra waiting.",,2015-02-22 14:18:55 -0800,Chicago,
569786215693742080,negative,1.0,Lost Luggage,0.6999,American,,Rom55Weber,,1,"@AmericanAir So i was visiting SJU and was returning to Paris and they checked my bag at the gate in SJU, i arrived in paris and nothing,(1)",,2015-02-23 01:09:54 -0800,,Paris
